Sweep,SD,Value,PC
1,1,13.877,PC1
2,1,27.026,PC1
3,1,35.533,PC1
4,1,42.079,PC1
5,1,47.467,PC1
6,1,52.096,PC1
7,1,56.017,PC1
8,1,59.596,PC1
9,1,62.758,PC1
10,1,65.635,PC1
11,1,68.32,PC1
12,1,70.723,PC1
13,1,72.923,PC1
14,1,75.07,PC1
15,1,76.993,PC1
16,1,78.817,PC1
17,1,80.444,PC1
18,1,81.99,PC1
19,1,83.49,PC1
20,1,84.835,PC1
21,1,86.109,PC1
22,1,87.268,PC1
23,1,88.36,PC1
24,1,89.389,PC1
25,1,90.319,PC1
26,1,91.211,PC1
27,1,92.016,PC1
28,1,92.731,PC1
29,1,93.391,PC1
30,1,94.026,PC1
31,1,94.606,PC1
32,1,95.12,PC1
33,1,95.609,PC1
34,1,96.028,PC1
35,1,96.401,PC1
36,1,96.672,PC1
37,1,96.965,PC1
38,1,97.188,PC1
39,1,97.355,PC1
40,1,97.532,PC1
41,1,97.644,PC1
42,1,97.744,PC1
43,1,97.802,PC1
44,1,97.791,PC1
45,1,97.762,PC1
46,1,97.702,PC1
47,1,97.601,PC1
48,1,97.478,PC1
49,1,97.341,PC1
50,1,97.143,PC1
51,1,96.952,PC1
52,1,96.699,PC1
53,1,96.424,PC1
54,1,96.139,PC1
55,1,95.769,PC1
56,1,95.395,PC1
57,1,95.011,PC1
58,1,94.62,PC1
59,1,94.237,PC1
60,1,93.708,PC1
61,1,93.222,PC1
62,1,92.691,PC1
63,1,92.142,PC1
64,1,91.567,PC1
65,1,90.992,PC1
66,1,90.322,PC1
67,1,89.692,PC1
68,1,88.918,PC1
69,1,88.193,PC1
70,1,87.454,PC1
71,1,86.682,PC1
72,1,85.829,PC1
73,1,84.927,PC1
74,1,83.995,PC1
75,1,82.965,PC1
76,1,81.977,PC1
77,1,80.889,PC1
78,1,79.643,PC1
79,1,78.45,PC1
80,1,77.152,PC1
81,1,75.804,PC1
82,1,74.297,PC1
83,1,72.772,PC1
84,1,71.123,PC1
85,1,69.447,PC1
86,1,67.563,PC1
87,1,65.595,PC1
88,1,63.408,PC1
89,1,61.183,PC1
90,1,58.697,PC1
91,1,55.989,PC1
92,1,53.089,PC1
93,1,49.91,PC1
94,1,46.462,PC1
95,1,42.695,PC1
96,1,38.504,PC1
97,1,33.747,PC1
98,1,28.169,PC1
99,1,21.333,PC1
100,1,11.25,PC1
1,2,13.318,PC1
2,2,25.742,PC1
3,2,33.779,PC1
4,2,40.043,PC1
5,2,45.233,PC1
6,2,49.712,PC1
7,2,53.512,PC1
8,2,56.986,PC1
9,2,60.082,PC1
10,2,62.911,PC1
11,2,65.534,PC1
