clone,tuber,weight,sva,caliper_length,caliper_width,replicate
1,6,8.44,4,107.9627,62.9158,1
1,7,9.47,4,127.127,62.6999,1
1,8,5.92,4,106.9848,58.7756,1
1,9,7.14,4,104.3559,60.1345,1
1,10,8.83,4,140.4366,61.0235,1
2,6,7.89,5,129.6924,59.055,1
2,7,6.14,5,112.5474,56.9595,1
2,8,5.81,5,106.9213,51.0794,1
2,9,6.9,5,128.27,56.0451,1
2,10,6.66,5,120.5103,60.5028,1
3,6,5.89,4,84.1375,61.3156,1
3,7,7.77,4,98.2345,64.2874,1
3,8,5.87,4,88.8619,62.0141,1
3,9,7.22,4,90.5383,66.929,1
3,10,6,4,72.9361,71.6788,1
4,6,4.76,5,88.7349,53.9496,1
4,7,3.81,5,79.4512,48.7172,1
4,8,7.33,5,99.3648,68.9229,1
4,9,6.93,5,102.9462,61.9125,1
4,10,5.25,5,110.9091,50.1142,1
5,6,7.41,5,123.1138,59.817,1
5,7,7.35,5,117.729,61.3029,1
5,8,6.12,5,108.2548,57.3659,1
5,9,9.24,5,123.0249,62.7634,1
5,10,6.61,5,97.7011,65.7479,1
6,6,4.69,3,85.4202,55.7911,1
6,7,4.58,3,88.6714,50.3809,1
6,8,4.83,3,83.6168,54.8513,1
6,9,4.15,3,77.2414,52.9463,1
6,10,4.44,3,82.8548,50.2158,1
7,6,6.78,3,77.3049,66.8655,1
7,7,6.7,3,78.7654,66.7131,1
7,8,7.17,3,88.0745,67.183,1
7,9,6.72,3,81.2546,67.0941,1
7,10,6.58,3,80.3148,68.326,1
8,6,6.09,5,107.3912,50.3301,1
8,7,6.33,5,105.7402,58.42,1
8,8,11.92,5,166.4843,66.4591,1
8,9,11.48,5,163.6268,57.9501,1
8,10,6.03,5,105.7529,55.5244,1
9,6,6.66,5,111.7346,54.7243,1
9,7,5.99,5,107.5182,53.6702,1
9,8,6.98,5,110.0455,58.9661,1
9,9,7.68,5,121.5263,60.9854,1
9,10,6.65,5,129.3241,52.9844,1
10,6,6.31,4,118.5418,47.1678,1
10,7,7.44,4,125.2855,51.0413,1
10,8,6.98,4,119.0625,54.5338,1
10,9,7.06,4,124.4092,49.8856,1
10,10,7.57,4,136.6139,47.3075,1
11,6,7.51,5,115.3541,54.9656,1
11,7,6.47,5,114.9858,52.0827,1
11,8,7.91,5,131.4704,56.8198,1
11,9,6.62,5,121.3866,58.039,1
11,10,7.67,5,117.7798,55.7022,1
12,6,3.65,3,70.3961,53.975,1
12,7,4.71,3,76.3143,57.3659,1
12,8,4.35,3,76.4794,54.61,1
12,9,3.67,3,70.3453,52.578,1
12,10,5.9,3,112.5855,53.6829,1
13,6,5.12,4,90.3859,53.467,1
13,7,5.8,4,88.8111,57.9755,1
13,8,6.26,4,98.2218,56.8706,1
13,9,6.54,4,87.9221,62.9539,1
13,10,6.3,4,96.2279,57.3913,1
14,6,5.08,4,97.2185,52.8193,1
14,7,5.16,4,108.3437,49.2252,1
14,8,4.83,4,90.805,53.5813,1
14,9,4.55,4,93.2561,51.1048,1
14,10,4.44,4,91.4146,48.4505,1
15,6,8.29,5,116.7638,63.8556,1
15,7,6.44,5,105.7021,54.6862,1
15,8,7.67,5,111.3663,62.9666,1
15,9,7.17,5,104.6734,65.8622,1
15,10,8.14,5,122.047,57.1754,1
16,6,8.17,5,118.7069,59.7408,1
16,7,9.04,5,103.3653,67.9069,1
16,8,6.52,5,106.4133,55.8927,1
16,9,8.17,5,116.8019,67.6148,1
16,10,5.69,5,98.425,57.15,1
17,6,6.75,4,107.9627,56.4769,1
17,7,7.37,4,92.1258,61.4807,1
17,8,6.22,4,92.3417,58.0517,1
17,9,6.1,4,86.8426,62.7507,1
17,10,6.63,4,87.8586,64.5541,1
18,6,6.62,4,90.7415,60.9727,1
18,7,6.48,4,99.2251,58.2295,1
18,8,9.06,4,105.4354,70.3326,1
18,9,6.55,4,92.6973,59.1439,1
18,10,5.97,4,88.9,58.7756,1
19,6,3.56,2,60.2361,57.9628,1
19,7,3.54,2,63.9826,52.9844,1
19,8,3.41,2,57.912,55.4355,1
19,9,4.3,2,69.723,60.7314,1
19,10,3.35,2,62.0014,52.07,1
20,6,4.5,5,95.4532,50.6857,1
20,7,4.76,5,98.806,55.1815,1
20,8,4.45,5,105.5878,50.0126,1
20,9,4.56,5,110.5281,49.2379,1
20,10,5.19,5,102.1461,53.8988,1
21,6,6.35,5,92.7989,62.484,1
21,7,7.73,5,97.7646,62.9539,1
21,8,6.3,5,88.2396,62.9158,1
21,9,7.14,5,113.8555,56.9849,1
21,10,7.1,5,89.2429,63.1825,1
22,6,1.82,4,49.4284,44.1706,1
22,7,2.27,4,75.2348,39.9542,1
22,8,1.75,4,58.3438,37.9476,1
22,9,1.18,4,55.1561,31.4198,1
22,10,0.94,4,45.1739,32.8549,1
23,6,10.28,3,106.6546,72.8091,1
23,7,6.4,3,89.2937,61.214,1
23,8,8.53,3,94.8944,72.1106,1
23,9,8.82,3,98.7552,72.1106,1
23,10,7.07,3,82.8167,72.7329,1
24,6,4.18,3,64.516,57.15,1
24,7,4.24,3,67.7926,58.8899,1
24,8,4.22,3,76.4413,57.023,1
24,9,4.5,3,68.2117,58.8391,1
24,10,2.58,3,53.6702,48.0949,1
25,6,7.15,5,94.0689,66.4845,1
25,7,7.83,5,102.87,65.4431,1
25,8,8.11,5,95.3516,66.2051,1
25,9,7.65,5,98.1837,67.5386,1
25,10,6.39,5,90.5002,65.4939,1
26,6,6.23,5,113.03,55.499,1
26,7,6.51,5,113.7031,54.5846,1
26,8,6.06,5,112.4585,57.4421,1
26,9,6.98,5,120.269,57.1246,1
26,10,6.44,5,116.1415,58.6486,1
27,6,4.44,4,75.0189,54.4322,1
27,7,4.46,4,69.3039,55.9435,1
27,8,4.09,4,75.1332,52.3494,1
27,9,3.97,4,70.9549,55.2323,1
27,10,3.92,4,72.9742,54.4449,1
28,6,7,5,103.8987,61.4299,1
28,7,7.07,5,106.3752,60.8838,1
28,8,5.97,5,102.5144,49.4157,1
28,9,6.94,5,116.9416,58.5851,1
28,10,7.81,5,107.6452,59.5757,1
29,6,8.36,4,95.0595,65.532,1
29,7,9.68,4,106.8832,63.0301,1
29,8,8.27,4,87.9094,71.5518,1
29,9,8.45,4,101.0412,64.5414,1
29,10,9.74,4,103.3272,66.9925,1
30,6,8.46,5,113.5253,62.2681,1
30,7,8.4,5,125.4633,60.0075,1
30,8,9.7,5,138.9253,61.4299,1
30,9,8.46,5,108.8136,69.9516,1
30,10,9.42,5,117.5385,67.8307,1
31,6,6.33,4,87.122,64.8716,1
31,7,6.16,4,83.8454,64.2747,1
31,8,6.65,4,91.9861,62.2046,1
31,9,5.91,4,98.044,56.642,1
31,10,6.03,4,95.8596,59.4868,1
32,6,7.22,4,100.8761,59.7154,1
32,7,7.75,4,99.9744,60.9727,1
32,8,5.93,4,94.9325,62.4205,1
32,9,7.31,4,98.2345,63.1063,1
32,10,5.86,4,105.283,57.6961,1
33,6,6.9,4,89.8779,63.3095,1
33,7,6.25,4,89.0651,62.0014,1
33,8,6.28,4,96.7232,62.0776,1
33,9,6.15,4,90.1446,61.722,1
33,10,5.9,4,83.8454,62.0649,1
34,6,6.88,4,88.7349,63.9318,1
34,7,6.72,4,77.9145,65.9892,1
34,8,6.46,4,78.5749,59.2455,1
34,9,6.29,4,94.4118,62.6237,1
34,10,5.92,4,94.8309,59.9186,1
35,6,7.03,5,117.2845,54.6354,1
35,7,7.11,5,98.2472,60.0202,1
35,8,7.77,5,106.6038,62.2173,1
35,9,8.88,5,110.7186,58.7121,1
35,10,8.4,5,101.2952,66.0273,1
36,6,9.89,5,101.0666,69.2785,1
36,7,7.06,5,97.8154,63.8429,1
36,8,6.31,5,100.4951,63.3857,1
36,9,7.44,5,101.1174,63.8302,1
36,10,7.45,5,114.0206,61.0743,1
37,6,5.64,5,138.8237,42.0243,1
37,7,7.95,5,159.0802,49.3776,1
37,8,4.71,5,116.8781,47.244,1
37,9,4.89,5,124.714,43.3832,1
